Order number;Pickup X;Pickup Y;Pickup Start time;Pickup End time;Delivery X;Delivery Y;Delivery Start time;Delivery End time;Revenue;Service Times;Loading meters;Weight
Vehicle 1;70;143;0;1000;57;36;0;762;0;0;0;0
Vehicle 2;122;124;0;1000;131;4;0;997;0;0;0;0
Vehicle 3;44;26;0;1000;97;22;0;732;0;0;0;0
[SFT2-R50-30-3]-1;45;7.5;22;262;67.5;15;99;339;1;30;0.4;51.7
[SFT2-R50-30-3]-2;15;64.5;42;282;19.5;78;91;331;8;30;7.3;9582.3
[SFT2-R50-30-3]-3;94.5;97.5;41;281;97.5;82.5;101;341;29;30;13.6;16619.8
[SFT2-R50-30-3]-4;16.5;21;36;276;82.5;90;229;469;114;30;13.6;21231.4
[SFT2-R50-30-3]-5;67.5;15;21;261;9;57;188;428;168;30;13.6;22085.2
[SFT2-R50-30-3]-6;82.5;67.5;73;313;97.5;52.5;137;377;17;30;13.6;23950.7
[SFT2-R50-30-3]-7;45;37.5;14;254;52.5;52.5;71;311;42;30;13.6;3523.6
[SFT2-R50-30-3]-8;52.5;103.5;43;283;45;90;105;345;12;30;6.5;4421
[SFT2-R50-30-3]-9;97.5;52.5;64;304;97.5;82.5;147;387;59;30;13.6;26131.7
[SFT2-R50-30-3]-10;36;18;11;251;3;90;129;369;110;30;13.6;17512.1
[SFT2-R50-30-3]-11;79.5;78;70;310;9;57;213;453;34;30;9;13830.8
[SFT2-R50-30-3]-12;82.5;7.5;37;277;52.5;25.5;115;355;21;30;13.6;18620.1
[SFT2-R50-30-3]-13;61.5;55.5;41;281;30;30;149;389;11;30;1.8;2741.3
[SFT2-R50-30-3]-14;97.5;30;45;285;46.5;78;211;451;214;30;13.6;17882.8
[SFT2-R50-30-3]-15;37.5;45;22;262;79.5;78;143;383;16;30;0.3;514.3
[SFT2-R50-30-3]-16;61.5;73.5;50;290;9;102;187;427;32;30;13.6;23084.1
[SFT2-R50-30-3]-17;52.5;52.5;27;267;45;7.5;116;356;94;30;13.6;10039.8
[SFT2-R50-30-3]-18;67.5;97.5;52;292;22.5;90;168;408;88;30;13.6;21723.3
[SFT2-R50-30-3]-19;45;37.5;13;253;7.5;7.5;140;380;107;30;13.6;21696.2
[SFT2-R50-30-3]-20;45;37.5;13;253;52.5;60;77;317;40;30;13.6;22822.9
[SFT2-R50-30-3]-21;15;64.5;50;290;30;97.5;134;374;143;30;5.1;9017.9
[SFT2-R50-30-3]-22;46.5;78;58;298;30;60;123;363;35;30;4.3;6707.1
[SFT2-R50-30-3]-23;82.5;67.5;46;286;97.5;82.5;116;356;15;30;3.2;3752.4
[SFT2-R50-30-3]-24;45;90;55;295;30;60;136;376;0;30;0.2;61.9
[SFT2-R50-30-3]-25;82.5;30;48;288;7.5;45;170;410;85;30;7.3;10997.8
[SFT2-R50-30-3]-26;9;57;59;299;97.5;82.5;186;426;257;30;13.6;21083.8
[SFT2-R50-30-3]-27;63;10.5;22;262;15;64.5;185;425;84;30;13.6;9763.3
[SFT2-R50-30-3]-28;15;30;32;272;7.5;7.5;87;327;61;30;13.6;23854.9
[SFT2-R50-30-3]-29;22.5;90;82;322;30;30;216;456;172;30;13.6;22093.3
[SFT2-R50-30-3]-30;67.5;45;39;279;67.5;97.5;130;370;146;30;13.6;14838.9
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
