Order number;Pickup date;Pickup days;Pickup Country;Pickup Zip code;Pickup Start time;Pickup End time;Delivery date;Delivery days;Delivery Country;Delivery Zip code;Delivery Start time;Delivery End time;Kilometers;Revenue;Loading meters;Weight;Pallet exchange
[D-X-25]-1;9/02/2024;0;DE;94575;07:00;19:00;11/02/2024;1;DE;49504;08:00;18:00;684;1519;13.6;4602.7;No
[D-X-25]-2;11/02/2024;1;BE;2000;08:00;16:00;11/02/2024;2;BE;3600;08:00;16:00;93;110;13.6;20724.5;No
[D-X-25]-3;6/02/2024;1;DE;09111;06:00;16:00;9/02/2024;0;DE;20354;11:00;14:00;497;682;13.6;15145.2;No
[D-X-25]-4;5/02/2024;0;DE;34431;06:00;13:00;10/02/2024;0;DE;85462;07:00;13:00;523;880;13.6;2975.5;No
[D-X-25]-5;10/02/2024;1;DE;15236;06:00;17:00;17/02/2024;2;DE;76131;06:00;13:00;725;2061;13.6;23406.5;No
[D-X-25]-6;7/02/2024;1;DE;01587;10:00;19:00;7/02/2024;0;DE;20457;06:00;13:00;470;6219;13.6;10420.1;No
[D-X-25]-7;10/02/2024;0;DE;01067;08:00;18:00;10/02/2024;0;BE;8930;08:00;16:00;867;1522;13.6;11056.2;No
[D-X-25]-8;5/02/2024;2;DE;53894;12:00;17:00;6/02/2024;2;DE;24558;11:00;13:00;498;1199;13.6;23096.4;No
[D-X-25]-9;7/02/2024;1;DE;01723;08:00;14:00;7/02/2024;1;NL;5701;07:00;14:00;648;1234;13.6;8579.1;No
[D-X-25]-10;5/02/2024;1;DE;85551;07:00;14:00;5/02/2024;4;DE;88212;07:00;19:00;200;317;13.3;6002.6;No
[D-X-25]-11;6/02/2024;2;DE;59846;06:00;16:00;10/02/2024;0;DE;72766;06:00;17:00;486;1251;13.6;19893.1;No
[D-X-25]-12;5/02/2024;0;NL;4587;06:00;17:00;5/02/2024;2;DE;67059;08:00;16:00;466;606;5;9760.3;No
[D-X-25]-13;6/02/2024;0;DE;59964;10:00;19:00;7/02/2024;0;NL;8061;08:00;16:00;332;1164;13.6;20966.9;No
[D-X-25]-14;6/02/2024;1;DE;67550;11:00;16:00;6/02/2024;1;DE;39179;08:00;14:00;498;233;3.4;5732.7;No
[D-X-25]-15;7/02/2024;0;DE;30159;06:00;13:00;7/02/2024;0;DE;15518;09:00;16:00;324;484;13.6;24228.9;No
[D-X-25]-16;9/02/2024;1;DE;14621;06:00;16:00;12/02/2024;2;DE;55546;08:00;15:00;632;1996;13.6;27992.1;No
[D-X-25]-17;5/02/2024;1;BE;8780;07:00;19:00;12/02/2024;0;DE;82467;08:00;18:00;942;1169;3.7;5354.8;No
[D-X-25]-18;4/02/2024;2;BE;9000;07:00;13:00;6/02/2024;1;DE;64283;08:00;15:00;461;563;13.6;21171.8;No
[D-X-25]-19;6/02/2024;1;DE;36037;10:00;17:00;9/02/2024;0;DE;23552;06:00;17:00;463;656;3.2;4812.5;No
[D-X-25]-20;5/02/2024;0;DE;47574;08:00;16:00;6/02/2024;2;BE;1000;07:00;17:00;230;182;3.2;4301.2;No
[D-X-25]-21;5/02/2024;1;DE;76744;06:00;13:00;7/02/2024;1;DE;86836;08:00;17:00;263;134;13.6;19837.0;No
[D-X-25]-22;5/02/2024;0;BE;5300;09:00;18:00;5/02/2024;1;NL;3542;08:00;16:00;241;281;13.6;23237.7;No
[D-X-25]-23;8/02/2024;1;DE;49124;08:00;13:00;10/02/2024;1;DE;06366;06:00;16:00;340;300;13.6;10023.2;No
[D-X-25]-24;4/02/2024;3;DE;59964;12:00;18:00;4/02/2024;1;NL;8061;10:00;16:00;332;415;13.6;153.4;No
[D-X-25]-25;9/02/2024;0;DE;56626;12:00;13:00;10/02/2024;0;DE;89331;08:00;19:00;410;2027;13.6;21700.0;No
