Order number;Pickup X;Pickup Y;Pickup Start time;Pickup End time;Delivery X;Delivery Y;Delivery Start time;Delivery End time;Revenue;Service Times;Loading meters;Weight
Vehicle 1;19;47;0;1000;59;140;0;812;0;0;0;0
Vehicle 2;133;57;0;1000;27;112;0;795;0;0;0;0
Vehicle 3;32;94;0;1000;138;137;0;917;0;0;0;0
Vehicle 4;114;115;0;1000;37;45;0;896;0;0;0;0
Vehicle 5;54;18;0;1000;2;118;0;916;0;0;0;0
[SFT1-R100-50-5]-1;69;19.5;14;254;45;90;170;410;129;30;13.6;6409.9
[SFT1-R100-50-5]-2;90;18;37;277;52.5;52.5;166;406;33;30;13.6;11790
[SFT1-R100-50-5]-3;73.5;16.5;23;263;22.5;15;158;398;121;30;13.6;20630.4
[SFT1-R100-50-5]-4;93;115.5;20;260;28.5;31.5;229;469;241;30;13.6;21387.2
[SFT1-R100-50-5]-5;79.5;18;22;262;97.5;52.5;95;335;172;30;13.6;307.1
[SFT1-R100-50-5]-6;61.5;73.5;39;279;22.5;15;177;417;159;30;13.6;10557.7
[SFT1-R100-50-5]-7;30;97.5;5;245;61.5;55.5;129;369;20;30;13.6;11549
[SFT1-R100-50-5]-8;30;97.5;4;244;55.5;46.5;124;364;85;30;13.6;9715.1
[SFT1-R100-50-5]-9;22.5;45;5;245;7.5;45;56;296;18;30;13.3;19813.4
[SFT1-R100-50-5]-10;28.5;31.5;16;256;22.5;45;77;317;3;30;7.4;12839.1
[SFT1-R100-50-5]-11;75;52.5;34;274;79.5;18;124;364;77;30;13.6;20559.3
[SFT1-R100-50-5]-12;94.5;97.5;34;274;46.5;100.5;147;387;61;30;13.6;28322.8
[SFT1-R100-50-5]-13;46.5;78;28;268;97.5;82.5;145;385;250;30;13.6;12946.9
[SFT1-R100-50-5]-14;16.5;21;25;265;33;40.5;95;335;23;30;13.6;20084.1
[SFT1-R100-50-5]-15;48;18;6;246;9;57;146;386;163;30;13.6;27749.3
[SFT1-R100-50-5]-16;18;36;12;252;79.5;18;112;352;47;30;13.6;8489.4
[SFT1-R100-50-5]-17;52.5;60;42;282;67.5;97.5;128;368;29;30;13.6;21220.5
[SFT1-R100-50-5]-18;22.5;115.5;26;266;15;30;208;448;444;30;13.6;16843
[SFT1-R100-50-5]-19;91.5;78;55;295;79.5;78;108;348;74;30;13.6;20947.8
[SFT1-R100-50-5]-20;39;40.5;17;257;30;97.5;134;374;56;30;13.6;11402.3
[SFT1-R100-50-5]-21;45;37.5;18;258;12;84;137;377;387;30;13;20699.2
[SFT1-R100-50-5]-22;63;10.5;13;253;6;27;136;376;128;30;13.6;10664.9
[SFT1-R100-50-5]-23;52.5;60;35;275;60;37.5;97;337;34;30;11.5;18464.7
[SFT1-R100-50-5]-24;15;30;18;258;27;36;69;309;25;30;13.6;20710.1
[SFT1-R100-50-5]-25;91.5;78;56;296;22.5;90;199;439;73;30;13.6;24749.7
[SFT1-R100-50-5]-26;97.5;82.5;34;274;31.5;36;212;452;35;30;13.6;23429.3
[SFT1-R100-50-5]-27;61.5;55.5;40;280;82.5;67.5;101;341;7;30;3.4;5551.4
[SFT1-R100-50-5]-28;7.5;7.5;33;273;37.5;45;159;399;137;30;13.6;22626.8
[SFT1-R100-50-5]-29;15;64.5;16;256;30;30;109;349;111;30;13.6;8539.6
[SFT1-R100-50-5]-30;45;90;15;255;22.5;70.5;81;321;37;30;13.6;23510.7
[SFT1-R100-50-5]-31;30;30;16;256;3;90;150;390;47;30;13.6;4717
[SFT1-R100-50-5]-32;37.5;36;26;266;28.5;31.5;72;312;26;30;13.6;22616.2
[SFT1-R100-50-5]-33;30;97.5;4;244;69;19.5;211;451;124;30;9.1;13756.2
[SFT1-R100-50-5]-34;75;52.5;53;293;52.5;25.5;130;370;67;30;13.6;22532.4
[SFT1-R100-50-5]-35;22.5;15;30;270;70.5;70.5;204;444;53;30;13.6;23679.2
[SFT1-R100-50-5]-36;67.5;97.5;29;269;85.5;102;84;324;46;30;13.6;22208
[SFT1-R100-50-5]-37;66;25.5;13;253;91.5;78;130;370;229;30;13.4;20517.9
[SFT1-R100-50-5]-38;34.5;4.5;25;265;84;55.5;149;389;403;30;13.6;23102
[SFT1-R100-50-5]-39;69;19.5;17;257;30;60;160;400;44;30;5;6237
[SFT1-R100-50-5]-40;16.5;21;32;272;6;27;78;318;11;30;13.6;24741.4
[SFT1-R100-50-5]-41;30;30;20;260;82.5;7.5;137;377;223;30;13.6;8739.1
[SFT1-R100-50-5]-42;85.5;72;61;301;48;18;212;452;32;30;13.6;23653.1
[SFT1-R100-50-5]-43;63;10.5;10;250;97.5;30;96;336;178;30;13.6;23918.9
[SFT1-R100-50-5]-44;67.5;45;39;279;61.5;55.5;87;327;6;30;9.3;15174.3
[SFT1-R100-50-5]-45;85.5;102;27;267;30;97.5;140;380;9;30;3.2;5697.2
[SFT1-R100-50-5]-46;79.5;18;28;268;45;90;205;445;41;30;13.6;21836.2
[SFT1-R100-50-5]-47;25.5;51;7;247;15;30;85;325;8;30;13.5;2494.3
[SFT1-R100-50-5]-48;94.5;34.5;55;295;54;39;152;392;119;30;13.6;23300.2
[SFT1-R100-50-5]-49;52.5;103.5;28;268;52.5;60;129;369;128;30;13.6;21655.6
[SFT1-R100-50-5]-50;79.5;78;52;292;33;40.5;186;426;27;30;7;12596.6
