Order number;Pickup X;Pickup Y;Pickup Start time;Pickup End time;Delivery X;Delivery Y;Delivery Start time;Delivery End time;Revenue;Service Times;Loading meters;Weight
Vehicle 1;147;95;0;1000;23;70;0;792;0;0;0;0
Vehicle 2;37;132;0;1000;100;10;0;908;0;0;0;0
Vehicle 3;86;148;0;1000;8;39;0;832;0;0;0;0
Vehicle 4;125;97;0;1000;36;12;0;708;0;0;0;0
Vehicle 5;64;36;0;1000;39;148;0;769;0;0;0;0
Vehicle 6;63;130;0;1000;131;14;0;818;0;0;0;0
Vehicle 7;38;0;0;1000;59;147;0;937;0;0;0;0
[SFT2-R100-75-7]-1;22.5;45;36;276;46.5;100.5;156;396;126;30;13.6;24145.8
[SFT2-R100-75-7]-2;27;36;31;271;60;90;171;411;135;30;6.9;3619.2
[SFT2-R100-75-7]-3;94.5;97.5;35;275;82.5;81;97;337;115;30;13.6;4918.9
[SFT2-R100-75-7]-4;30;39;33;273;85.5;43.5;148;388;92;30;13.6;22869.9
[SFT2-R100-75-7]-5;48;18;18;258;82.5;67.5;116;356;262;30;13.6;12650.8
[SFT2-R100-75-7]-6;73.5;63;30;270;52.5;60;96;336;34;30;7;4188.4
[SFT2-R100-75-7]-7;3;72;59;299;33;33;162;402;251;30;13.6;23998
[SFT2-R100-75-7]-8;27;36;30;270;30;60;106;346;26;30;13.6;26386.2
[SFT2-R100-75-7]-9;22.5;90;51;291;37.5;36;198;438;640;30;13.6;22209.3
[SFT2-R100-75-7]-10;96;63;42;282;75;52.5;115;355;5;30;1.1;959.8
[SFT2-R100-75-7]-11;30;75;49;289;12;84;114;354;21;30;13.6;22876.3
[SFT2-R100-75-7]-12;36;18;24;264;82.5;90;171;411;81;30;13.6;6826.8
[SFT2-R100-75-7]-13;94.5;34.5;29;269;39;78;182;422;103;30;13.6;25737.6
[SFT2-R100-75-7]-14;16.5;21;36;276;67.5;45;145;385;82;30;13.6;14610.5
[SFT2-R100-75-7]-15;3;90;56;296;22.5;15;169;409;351;30;13.6;8367.7
[SFT2-R100-75-7]-16;60;90;49;289;67.5;45;136;376;151;30;13.6;17174.3
[SFT2-R100-75-7]-17;91.5;78;41;281;22.5;45;162;402;270;30;9.7;15317.9
