Order number;Pickup X;Pickup Y;Pickup Start time;Pickup End time;Delivery X;Delivery Y;Delivery Start time;Delivery End time;Revenue;Service Times;Loading meters;Weight
Vehicle 1;67;141;0;1000;94;10;0;712;0;0;0;0
Vehicle 2;41;2;0;1000;118;145;0;865;0;0;0;0
Vehicle 3;103;144;0;1000;10;90;0;948;0;0;0;0
[SFT1-C50-24-3]-1;7.5;67.5;62;302;60;103.5;217;457;135;30;13.6;22258.2
[SFT1-C50-24-3]-2;52.5;103.5;50;290;12;60;155;395;669;30;13.6;22030.6
[SFT1-C50-24-3]-3;30;75;67;307;34.5;82.5;115;355;25;30;10.8;22217.6
[SFT1-C50-24-3]-4;30;127.5;47;287;63;102;153;393;71;30;13.6;24233.3
[SFT1-C50-24-3]-5;60;99;34;274;49.5;48;147;387;4;30;0.6;474.9
[SFT1-C50-24-3]-6;45;45;35;275;22.5;112.5;210;450;46;30;1.8;3054.2
[SFT1-C50-24-3]-7;37.5;78;85;325;45;48;161;401;49;30;13.6;10345.1
[SFT1-C50-24-3]-8;37.5;127.5;36;276;60;75;126;366;300;30;13.6;21729
[SFT1-C50-24-3]-9;45;45;41;281;45;48;75;315;6;30;13.6;27000.9
[SFT1-C50-24-3]-10;49.5;52.5;50;290;27;112.5;203;443;292;30;13.6;4579.7
[SFT1-C50-24-3]-11;34.5;78;63;303;60;75;126;366;34;30;6.5;8609.3
[SFT1-C50-24-3]-12;7.5;67.5;74;314;22.5;120;188;428;96;30;13.5;21243.5
[SFT1-C50-24-3]-13;37.5;78;80;320;49.5;52.5;148;388;46;30;13.6;3630.2
[SFT1-C50-24-3]-14;34.5;78;90;330;3;60;193;433;122;30;13.6;1801.6
[SFT1-C50-24-3]-15;45;52.5;46;286;57;102;145;385;562;30;13.6;1400.6
[SFT1-C50-24-3]-16;7.5;67.5;85;325;37.5;82.5;151;391;38;30;13.6;22136.2
[SFT1-C50-24-3]-17;33;112.5;35;275;63;99;127;367;146;30;13.6;23898
[SFT1-C50-24-3]-18;34.5;78;78;318;42;45;157;397;75;30;13.6;24181.9
[SFT1-C50-24-3]-19;63;102;42;282;22.5;112.5;159;399;151;30;13.6;3342.3
[SFT1-C50-24-3]-20;12;67.5;59;299;63;97.5;198;438;39;30;9.2;12306.9
[SFT1-C50-24-3]-21;12;60;55;295;22.5;120;193;433;29;30;2.6;4444
[SFT1-C50-24-3]-22;60;103.5;46;286;30;120;145;385;4;30;1.3;1242.1
[SFT1-C50-24-3]-23;37.5;127.5;29;269;37.5;75;145;385;270;30;13.6;10178.1
[SFT1-C50-24-3]-24;34.5;78;72;312;37.5;78;107;347;3;30;13.6;9315.3
