Order number;Pickup X;Pickup Y;Pickup Start time;Pickup End time;Delivery X;Delivery Y;Delivery Start time;Delivery End time;Revenue;Service Times;Loading meters;Weight
Vehicle 1;91;138;0;1000;8;1;0;726;0;0;0;0
Vehicle 2;73;57;0;1000;19;142;0;733;0;0;0;0
[SFT2-R25-20-2]-1;67.5;15;47;287;22.5;90;211;451;3;30;0.4;635.2
[SFT2-R25-20-2]-2;67.5;30;32;272;67.5;97.5;199;439;62;30;13.6;22050.3
[SFT2-R25-20-2]-3;82.5;90;36;276;82.5;30;158;398;3;30;0.2;172
[SFT2-R25-20-2]-4;52.5;52.5;19;259;37.5;45;79;319;6;30;13.6;14500.2
[SFT2-R25-20-2]-5;82.5;7.5;48;288;67.5;15;100;340;4;30;1.6;1743.2
[SFT2-R25-20-2]-6;67.5;97.5;47;287;67.5;30;182;422;86;30;13.6;22990.9
[SFT2-R25-20-2]-7;15;64.5;68;308;45;90;170;410;113;30;13.6;18003
[SFT2-R25-20-2]-8;15;30;59;299;75;52.5;217;457;297;30;13.6;9597.4
[SFT2-R25-20-2]-9;7.5;45;55;295;22.5;45;104;344;3;30;4;264.9
[SFT2-R25-20-2]-10;67.5;30;25;265;22.5;90;182;422;37;30;11.8;2491.2
[SFT2-R25-20-2]-11;22.5;90;72;312;52.5;25.5;233;473;91;30;13.6;9695.5
[SFT2-R25-20-2]-12;22.5;15;78;318;67.5;15;162;402;19;30;3.9;3052.1
[SFT2-R25-20-2]-13;45;90;45;285;82.5;67.5;151;391;217;30;13.6;3394.2
[SFT2-R25-20-2]-14;45;37.5;32;272;15;30;99;339;10;30;5.7;9132
[SFT2-R25-20-2]-15;61.5;73.5;22;262;67.5;30;128;368;110;30;13.6;21398.8
[SFT2-R25-20-2]-16;82.5;67.5;15;255;52.5;52.5;107;347;107;30;13.6;3278.8
[SFT2-R25-20-2]-17;15;64.5;68;308;7.5;45;126;366;32;30;13.6;24066.2
[SFT2-R25-20-2]-18;82.5;30;23;263;82.5;67.5;102;342;58;30;13.6;22421.6
[SFT2-R25-20-2]-19;82.5;67.5;17;257;82.5;30;100;340;38;30;13.6;23171.7
[SFT2-R25-20-2]-20;97.5;52.5;30;270;67.5;30;126;366;268;30;13.6;9028.1
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
