Order number;Pickup X;Pickup Y;Pickup Start time;Pickup End time;Delivery X;Delivery Y;Delivery Start time;Delivery End time;Revenue;Service Times;Loading meters;Weight
Vehicle 1;104;109;0;1000;121;9;0;892;0;0;0;0
Vehicle 2;51;119;0;1000;137;63;0;794;0;0;0;0
Vehicle 3;16;2;0;1000;23;149;0;717;0;0;0;0
Vehicle 4;71;132;0;1000;48;34;0;703;0;0;0;0
Vehicle 5;102;32;0;1000;37;127;0;717;0;0;0;0
Vehicle 6;43;40;0;1000;114;124;0;917;0;0;0;0
Vehicle 7;89;33;0;1000;7;142;0;947;0;0;0;0
[SFT1-R100-75-7]-1;82.5;7.5;25;265;30;30;140;380;51;30;4.4;196.3
[SFT1-R100-75-7]-2;67.5;97.5;34;274;52.5;103.5;85;325;18;30;13.6;25719.9
[SFT1-R100-75-7]-3;82.5;30;6;246;3;90;240;480;21;30;2.2;4012.1
[SFT1-R100-75-7]-4;9;102;47;287;9;57;149;389;111;30;13.6;22437
[SFT1-R100-75-7]-5;42;27;12;252;85.5;72;119;359;18;30;3.7;1531
[SFT1-R100-75-7]-6;82.5;67.5;43;283;37.5;31.5;165;405;316;30;13.6;9563.3
[SFT1-R100-75-7]-7;67.5;30;26;266;22.5;15;123;363;308;30;13.6;20793.8
[SFT1-R100-75-7]-8;70.5;24;27;267;3;72;230;470;168;30;13.6;19834
[SFT1-R100-75-7]-9;93;115.5;16;256;61.5;55.5;185;425;58;30;4.1;1512.9
[SFT1-R100-75-7]-10;79.5;18;20;260;55.5;46.5;103;343;36;30;13.6;4232.8
[SFT1-R100-75-7]-11;82.5;30;7;247;37.5;31.5;118;358;170;30;13.6;9472.9
[SFT1-R100-75-7]-12;61.5;55.5;32;272;67.5;45;79;319;18;30;13.6;19502.9
[SFT1-R100-75-7]-13;67.5;30;25;265;3;72;181;421;77;30;13.6;19302.5
[SFT1-R100-75-7]-14;21;55.5;32;272;75;52.5;172;412;105;30;13.6;15370.9
[SFT1-R100-75-7]-15;67.5;15;36;276;40.5;103.5;193;433;9;30;1.4;2422.5
[SFT1-R100-75-7]-16;33;33;14;254;52.5;60;83;323;77;30;13.6;23829.8
[SFT1-R100-75-7]-17;82.5;30;9;249;84;55.5;91;331;110;30;13.6;22651.5
[SFT1-R100-75-7]-18;33;40.5;13;253;31.5;36;52;292;2;30;2.7;4184.7
[SFT1-R100-75-7]-19;25.5;51;24;264;39;40.5;78;318;101;30;13.6;12652.8
[SFT1-R100-75-7]-20;12;84;58;298;19.5;78;101;341;15;30;10.6;18993.6
[SFT1-R100-75-7]-21;55.5;70.5;36;276;9;57;164;404;80;30;13.6;24213.9
[SFT1-R100-75-7]-22;45;37.5;4;244;82.5;7.5;103;343;112;30;13.6;26104
[SFT1-R100-75-7]-23;100.5;7.5;30;270;39;78;252;492;961;30;13.6;4460.5
[SFT1-R100-75-7]-24;84;58.5;23;263;90;18;111;351;224;30;13.6;10313.6
[SFT1-R100-75-7]-25;67.5;30;20;260;9;57;138;378;121;30;13.6;20701.8
[SFT1-R100-75-7]-26;15;30;31;271;73.5;87;201;441;256;30;13.6;766.4
[SFT1-R100-75-7]-27;54;39;9;249;24;33;94;334;24;30;4;6435.4
[SFT1-R100-75-7]-28;73.5;109.5;25;265;15;64.5;210;450;82;30;13.6;21289.9
[SFT1-R100-75-7]-29;82.5;81;38;278;9;102;183;423;98;30;13.6;17385.5
[SFT1-R100-75-7]-30;28.5;31.5;16;256;37.5;45;70;310;26;30;13.6;18958
[SFT1-R100-75-7]-31;55.5;70.5;29;269;30;97.5;125;365;96;30;12.2;5900.5
[SFT1-R100-75-7]-32;9;57;30;270;33;40.5;96;336;34;30;13.6;23440.5
[SFT1-R100-75-7]-33;46.5;78;45;285;37.5;31.5;161;401;9;30;5.9;5168.7
[SFT1-R100-75-7]-34;84;58.5;26;266;45;90;161;401;77;30;13.6;8836.9
[SFT1-R100-75-7]-35;34.5;4.5;20;260;63;10.5;86;326;66;30;13.6;23496.9
[SFT1-R100-75-7]-36;6;27;31;271;16.5;46.5;88;328;12;30;2.3;3695.9
[SFT1-R100-75-7]-37;79.5;64.5;37;277;45;90;114;354;33;30;13.6;24100.1
[SFT1-R100-75-7]-38;22.5;115.5;27;267;39;52.5;184;424;26;30;10.1;7465.8
[SFT1-R100-75-7]-39;73.5;109.5;29;269;30;60;139;379;260;30;13.6;19553.6
[SFT1-R100-75-7]-40;21;55.5;23;263;82.5;7.5;142;382;356;30;13.6;14739.8
[SFT1-R100-75-7]-41;82.5;7.5;30;270;60;37.5;124;364;64;30;11.7;19613
[SFT1-R100-75-7]-42;46.5;78;37;277;69;19.5;136;376;30;30;7.6;5874.7
[SFT1-R100-75-7]-43;16.5;21;20;260;33;40.5;101;341;296;30;13.6;24163
[SFT1-R100-75-7]-44;96;63;35;275;7.5;45;210;450;354;30;13.6;15174.1
[SFT1-R100-75-7]-45;15;64.5;33;273;30;97.5;119;359;175;30;13.6;9965.6
[SFT1-R100-75-7]-46;85.5;43.5;10;250;73.5;16.5;90;330;85;30;6;9279.5
[SFT1-R100-75-7]-47;82.5;67.5;41;281;61.5;55.5;109;349;29;30;13.6;23106.3
[SFT1-R100-75-7]-48;7.5;7.5;13;253;61.5;55.5;136;376;102;30;13.6;7795.5
[SFT1-R100-75-7]-49;60;37.5;20;260;91.5;78;132;372;28;30;13.6;22263.6
[SFT1-R100-75-7]-50;67.5;45;21;261;73.5;87;133;373;125;30;4.1;2516.3
[SFT1-R100-75-7]-51;79.5;64.5;27;267;40.5;103.5;116;356;62;30;13.6;22057.8
[SFT1-R100-75-7]-52;97.5;82.5;26;266;97.5;52.5;113;353;27;30;13.6;22995.2
[SFT1-R100-75-7]-53;22.5;45;20;260;70.5;24;135;375;310;30;13.6;1112.7
[SFT1-R100-75-7]-54;30;39;12;252;42;27;66;306;30;30;13.6;12359.8
[SFT1-R100-75-7]-55;61.5;73.5;36;276;46.5;100.5;128;368;7;30;6.6;3950
[SFT1-R100-75-7]-56;85.5;102;20;260;9;57;179;419;103;30;11.2;18762.2
[SFT1-R100-75-7]-57;30;39;15;255;40.5;103.5;151;391;85;30;10.4;16155.5
[SFT1-R100-75-7]-58;67.5;97.5;22;262;82.5;90;73;313;47;30;13.6;27096.5
[SFT1-R100-75-7]-59;6;27;28;268;7.5;45;91;331;12;30;13.6;15271.1
[SFT1-R100-75-7]-60;97.5;30;5;245;82.5;90;122;362;217;30;7.7;12881.7
[SFT1-R100-75-7]-61;55.5;84;37;277;46.5;100.5;95;335;7;30;13.6;20893.6
[SFT1-R100-75-7]-62;28.5;31.5;17;257;55.5;84;147;387;38;30;10;8964.8
[SFT1-R100-75-7]-63;7.5;45;30;270;69;19.5;183;423;129;30;13.3;11790.5
[SFT1-R100-75-7]-64;30;30;17;257;21;55.5;89;329;30;30;9.1;6734.1
[SFT1-R100-75-7]-65;15;30;33;273;52.5;25.5;112;352;218;30;13.6;20677.5
[SFT1-R100-75-7]-66;94.5;34.5;6;246;79.5;64.5;100;340;26;30;13.6;3431.6
[SFT1-R100-75-7]-67;22.5;45;20;260;39;52.5;78;318;34;30;12.4;9524.6
[SFT1-R100-75-7]-68;39;78;37;277;91.5;78;168;408;217;30;13.6;24707.2
[SFT1-R100-75-7]-69;39;78;43;283;36;18;160;400;5;30;6.8;5635
[SFT1-R100-75-7]-70;79.5;18;20;260;21;55.5;161;401;27;30;13.6;22156.4
[SFT1-R100-75-7]-71;15;30;24;264;22.5;45;79;319;20;30;8.6;14047.6
[SFT1-R100-75-7]-72;90;18;15;255;60;37.5;115;355;54;30;9.6;15499.4
[SFT1-R100-75-7]-73;73.5;16.5;22;262;45;7.5;106;346;33;30;13.6;20481.7
[SFT1-R100-75-7]-74;97.5;30;5;245;22.5;90;198;438;117;30;13.6;24171.9
[SFT1-R100-75-7]-75;42;27;15;255;39;40.5;70;310;21;30;13.6;13448
