Order number;Pickup X;Pickup Y;Pickup Start time;Pickup End time;Delivery X;Delivery Y;Delivery Start time;Delivery End time;Revenue;Service Times;Loading meters;Weight
Vehicle 1;15;51;0;1000;140;145;0;855;0;0;0;0
Vehicle 2;149;146;0;1000;39;26;0;737;0;0;0;0
[SFT2-C25-16-2]-1;42;78;38;278;57;102;110;350;86;30;13.6;12429
[SFT2-C25-16-2]-2;57;102;81;321;37.5;127.5;172;412;21;30;13.6;2009.3
[SFT2-C25-16-2]-3;63;99;89;329;33;112.5;178;418;47;30;9.6;16746.6
[SFT2-C25-16-2]-4;27;112.5;51;291;60;103.5;147;387;55;30;13.6;12313.6
[SFT2-C25-16-2]-5;57;102;87;327;22.5;120;197;437;18;30;13.6;26871.5
[SFT2-C25-16-2]-6;57;102;53;293;63;99;92;332;17;30;13.6;21354.1
[SFT2-C25-16-2]-7;45;75;30;270;60;103.5;100;340;10;30;13.6;23904.4
[SFT2-C25-16-2]-8;63;99;75;315;22.5;120;154;394;81;30;6.5;13382.1
[SFT2-C25-16-2]-9;52.5;99;77;317;33;127.5;146;386;5;30;13.6;22085.7
[SFT2-C25-16-2]-10;57;105;75;315;27;112.5;166;406;79;30;13.6;1381.6
[SFT2-C25-16-2]-11;33;112.5;79;319;45;75;186;426;34;30;13.6;19688.6
[SFT2-C25-16-2]-12;52.5;103.5;73;313;67.5;102;130;370;59;30;13.6;5304.3
[SFT2-C25-16-2]-13;37.5;75;37;277;42;82.5;81;321;17;30;13.6;21410
[SFT2-C25-16-2]-14;33;112.5;83;323;57;105;153;393;36;30;13.6;22245.8
[SFT2-C25-16-2]-15;67.5;105;62;302;45;75;160;400;74;30;13.6;10231.2
[SFT2-C25-16-2]-16;67.5;102;61;301;52.5;99;107;347;59;30;13.6;11844.2
