Order number;Pickup X;Pickup Y;Pickup Start time;Pickup End time;Delivery X;Delivery Y;Delivery Start time;Delivery End time;Revenue;Service Times;Loading meters;Weight
Vehicle 1;16;38;0;1000;70;126;0;926;0;0;0;0
Vehicle 2;136;0;0;1000;144;115;0;716;0;0;0;0
[SFT1-R25-20-2]-1;22.5;45;8;248;52.5;52.5;89;329;60;30;13.6;17231.6
[SFT1-R25-20-2]-2;30;60;29;269;61.5;73.5;112;352;34;30;13.6;10630.7
[SFT1-R25-20-2]-3;22.5;45;11;251;61.5;73.5;119;359;61;30;9.1;14446.6
[SFT1-R25-20-2]-4;82.5;30;61;301;22.5;15;206;446;123;30;5.1;2761.1
[SFT1-R25-20-2]-5;67.5;97.5;94;334;82.5;67.5;187;427;246;30;13.6;7784.1
[SFT1-R25-20-2]-6;45;37.5;29;269;22.5;90;147;387;487;30;13.6;9109.6
[SFT1-R25-20-2]-7;52.5;25.5;45;285;15;30;134;374;37;30;8.8;16766
[SFT1-R25-20-2]-8;45;90;58;298;7.5;45;166;406;181;30;13.6;9615.8
[SFT1-R25-20-2]-9;7.5;45;10;250;52.5;52.5;131;371;385;30;13.6;3256.1
[SFT1-R25-20-2]-10;82.5;90;76;316;22.5;45;220;460;34;30;13.6;21272.2
[SFT1-R25-20-2]-11;22.5;90;56;296;45;7.5;219;459;463;30;13.6;7802.1
[SFT1-R25-20-2]-12;97.5;52.5;64;304;45;37.5;158;398;255;30;13.6;24392.6
[SFT1-R25-20-2]-13;67.5;97.5;74;314;97.5;52.5;188;428;27;30;13.6;18823.5
[SFT1-R25-20-2]-14;30;60;23;263;67.5;30;111;351;1;30;0.6;910.7
[SFT1-R25-20-2]-15;61.5;73.5;59;299;82.5;90;144;384;66;30;13.6;10029.7
[SFT1-R25-20-2]-16;15;30;9;249;15;64.5;87;327;105;30;13.6;12224
[SFT1-R25-20-2]-17;30;60;26;266;82.5;7.5;208;448;510;30;13.6;28330.2
[SFT1-R25-20-2]-18;82.5;67.5;66;306;67.5;15;158;398;56;30;13.6;5370.9
[SFT1-R25-20-2]-19;52.5;25.5;41;281;30;60;123;363;12;30;4.5;6959.3
[SFT1-R25-20-2]-20;15;64.5;24;264;22.5;45;92;332;69;30;13.6;17236.3
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
