Order number;Pickup X;Pickup Y;Pickup Start time;Pickup End time;Delivery X;Delivery Y;Delivery Start time;Delivery End time;Revenue;Service Times;Loading meters;Weight
Vehicle 1;58;30;0;1000;117;148;0;917;0;0;0;0
Vehicle 2;109;150;0;1000;4;138;0;921;0;0;0;0
[SFT2-RC25-20-2]-1;63;22.5;8;248;12;67.5;155;395;14;30;0.6;528.2
[SFT2-RC25-20-2]-2;3;60;64;304;60;7.5;224;464;97;30;13.6;21090.3
[SFT2-RC25-20-2]-3;66;7.5;25;265;30;120;266;506;288;30;13.6;24302.9
[SFT2-RC25-20-2]-4;60;22.5;9;249;3;60;160;400;93;30;13.6;17048.5
[SFT2-RC25-20-2]-5;0;60;53;293;12;67.5;107;347;5;30;3.5;4881.3
[SFT2-RC25-20-2]-6;33;127.5;88;328;22.5;112.5;148;388;6;30;3.8;6644.2
[SFT2-RC25-20-2]-7;0;67.5;61;301;7.5;67.5;101;341;18;30;13.6;10996.1
[SFT2-RC25-20-2]-8;60;75;45;285;7.5;52.5;176;416;225;30;9.6;15172.3
[SFT2-RC25-20-2]-9;15;52.5;59;299;60;22.5;170;410;57;30;13.6;21721.5
[SFT2-RC25-20-2]-10;22.5;112.5;82;322;66;7.5;300;540;339;30;13.6;19744.2
[SFT2-RC25-20-2]-11;12;60;48;288;15;52.5;91;331;10;30;13.6;21098.1
[SFT2-RC25-20-2]-12;57;22.5;8;248;37.5;127.5;223;463;162;30;13.6;23849
[SFT2-RC25-20-2]-13;7.5;52.5;66;306;12;67.5;115;355;79;30;13.6;8831.2
[SFT2-RC25-20-2]-14;57;7.5;25;265;15;52.5;127;367;55;30;7.8;7527.5
[SFT2-RC25-20-2]-15;7.5;67.5;73;313;37.5;127.5;240;480;578;30;13.6;20435.4
[SFT2-RC25-20-2]-16;33;127.5;81;321;15;60;215;455;42;30;13.6;21323.1
[SFT2-RC25-20-2]-17;60;75;52;292;30;120;187;427;74;30;8.4;14907.6
[SFT2-RC25-20-2]-18;57;7.5;20;260;27;112.5;200;440;122;30;4.9;7812
[SFT2-RC25-20-2]-19;12;67.5;75;315;7.5;67.5;112;352;7;30;13.6;24324.8
[SFT2-RC25-20-2]-20;7.5;52.5;68;308;37.5;127.5;221;461;94;30;10.8;17326.8
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
