Order number;Pickup X;Pickup Y;Pickup Start time;Pickup End time;Delivery X;Delivery Y;Delivery Start time;Delivery End time;Revenue;Service Times;Loading meters;Weight
Vehicle 1;67;122;0;1000;19;4;0;750;0;0;0;0
Vehicle 2;129;140;0;1000;149;24;0;721;0;0;0;0
Vehicle 3;34;78;0;1000;111;9;0;894;0;0;0;0
[SFT2-RC50-30-3]-1;90;127.5;24;264;87;112.5;82;322;6;30;3.8;5933.4
[SFT2-RC50-30-3]-2;15;60;31;271;60;75;143;383;195;30;13.6;2718.9
[SFT2-RC50-30-3]-3;97.5;127.5;40;280;60;22.5;199;439;336;30;13.6;23073.9
[SFT2-RC50-30-3]-4;90;120;28;268;87;112.5;67;307;2;30;2.5;2435.5
[SFT2-RC50-30-3]-5;27;120;46;286;97.5;123;217;457;82;30;13.6;22096.1
[SFT2-RC50-30-3]-6;7.5;67.5;23;263;135;52.5;280;520;433;30;13.6;11836.5
[SFT2-RC50-30-3]-7;93;120;34;274;63;7.5;236;476;615;30;13.6;27340.9
[SFT2-RC50-30-3]-8;63;15;82;322;12;67.5;234;474;1;30;0.1;179.6
[SFT2-RC50-30-3]-9;82.5;120;14;254;63;18;167;407;209;30;13.6;8884.6
[SFT2-RC50-30-3]-10;33;112.5;30;270;138;45;213;453;155;30;13.6;7672.4
[SFT2-RC50-30-3]-11;127.5;37.5;113;353;37.5;127.5;315;555;93;30;8.4;3436.1
[SFT2-RC50-30-3]-12;22.5;112.5;43;283;63;15;231;471;50;30;13.6;10794.5
[SFT2-RC50-30-3]-13;30;120;37;277;127.5;52.5;200;440;277;30;12;11823.8
[SFT2-RC50-30-3]-14;63;15;57;297;142.5;52.5;249;489;11;30;0.9;761.2
[SFT2-RC50-30-3]-15;142.5;45;78;318;15;60;366;606;202;30;13.6;5882
[SFT2-RC50-30-3]-16;127.5;37.5;103;343;66;7.5;233;473;850;30;13.6;22641.2
[SFT2-RC50-30-3]-17;7.5;52.5;48;288;57;22.5;173;413;5;30;5.3;3332.4
[SFT2-RC50-30-3]-18;138;45;86;326;90;127.5;283;523;334;30;13.6;10693.5
[SFT2-RC50-30-3]-19;66;7.5;65;305;33;112.5;221;461;271;30;13.6;8278.4
[SFT2-RC50-30-3]-20;0;67.5;37;277;66;7.5;199;439;51;30;13.6;19007.4
[SFT2-RC50-30-3]-21;138;45;119;359;132;52.5;160;400;9;30;13.6;23871.4
[SFT2-RC50-30-3]-22;15;60;33;273;0;67.5;82;322;89;30;12.7;13251
[SFT2-RC50-30-3]-23;33;127.5;36;276;15;60;202;442;40;30;13.6;18891.9
[SFT2-RC50-30-3]-24;87;112.5;18;258;135;52.5;144;384;61;30;13.6;10225.2
[SFT2-RC50-30-3]-25;63;7.5;83;323;127.5;52.5;250;490;129;30;13.6;8580.6
[SFT2-RC50-30-3]-26;15;60;29;269;100.5;127.5;260;500;119;30;13.6;9330.7
[SFT2-RC50-30-3]-27;60;22.5;66;306;132;52.5;185;425;747;30;13.6;23747.1
[SFT2-RC50-30-3]-28;30;120;45;285;15;60;154;394;261;30;13.6;22787.3
[SFT2-RC50-30-3]-29;12;67.5;24;264;90;120;171;411;237;30;13.6;17788.1
[SFT2-RC50-30-3]-30;63;22.5;82;322;90;120;322;562;198;30;12.7;10654.5
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
