Order number;Pickup date;Pickup days;Pickup Country;Pickup Zip code;Pickup Start time;Pickup End time;Delivery date;Delivery days;Delivery Country;Delivery Zip code;Delivery Start time;Delivery End time;Kilometers;Revenue;Loading meters;Weight;Pallet exchange
[D-X-50]-1;6/02/2024;0;DE;14793;07:00;19:00;7/02/2024;1;DE;74564;08:00;18:00;460;756;13.6;9249.8;No
[D-X-50]-2;10/02/2024;1;DE;01723;08:00;17:00;10/02/2024;0;NL;7025;08:00;16:00;625;567;13.6;20982.8;No
[D-X-50]-3;3/02/2024;2;DE;44575;09:00;18:00;6/02/2024;0;DE;66679;08:00;16:00;285;450;13.6;2067.6;No
[D-X-50]-4;6/02/2024;5;DE;86682;09:00;13:00;10/02/2024;0;DE;39387;07:00;13:00;490;1959;13.6;16847.6;No
[D-X-50]-5;6/02/2024;0;DE;15517;08:00;16:00;10/02/2024;2;DE;77652;07:00;16:00;782;551;13.6;8148.9;No
[D-X-50]-6;4/02/2024;1;DE;08393;08:00;18:00;5/02/2024;1;DE;26721;08:00;13:00;592;2141;13;3839.6;No
[D-X-50]-7;7/02/2024;1;DE;83334;06:00;13:00;13/02/2024;2;DE;15711;12:00;18:00;705;124;3.3;5260.8;No
[D-X-50]-8;8/02/2024;2;DE;41849;12:00;16:00;8/02/2024;4;DE;38100;09:00;19:00;454;1403;13.6;10670.9;No
[D-X-50]-9;5/02/2024;1;DE;37688;09:00;16:00;6/02/2024;1;DE;40217;07:00;13:00;218;551;13.6;21373.4;No
[D-X-50]-10;5/02/2024;1;DE;38226;08:00;13:00;5/02/2024;1;DE;97353;12:00;17:00;347;291;13.6;20963.8;No
[D-X-50]-11;6/02/2024;0;DE;09599;08:00;16:00;8/02/2024;2;DE;97332;07:00;19:00;307;27;4.1;6862.0;No
[D-X-50]-12;3/02/2024;3;DE;46446;11:00;13:00;5/02/2024;1;DE;76275;09:00;19:00;430;803;2.2;3717.5;No
[D-X-50]-13;9/02/2024;0;DE;78532;08:00;14:00;10/02/2024;0;DE;70734;08:00;18:00;134;492;6.3;7028.4;No
[D-X-50]-14;11/02/2024;0;DE;99084;12:00;17:00;13/02/2024;1;DE;50374;07:00;17:00;399;266;13.6;23029.7;No
[D-X-50]-15;4/02/2024;1;DE;56154;07:00;13:00;4/02/2024;1;DE;91448;08:00;17:00;308;587;13.6;21339.3;No
[D-X-50]-16;5/02/2024;0;DE;13088;12:00;17:00;6/02/2024;1;DE;20457;07:00;16:00;295;17;1.2;1777.9;No
[D-X-50]-17;4/02/2024;1;BE;4100;06:00;16:00;7/02/2024;0;DE;66849;07:00;18:00;270;87;1.9;2852.8;No
[D-X-50]-18;5/02/2024;3;DE;10117;08:00;13:00;8/02/2024;1;DE;63065;12:00;14:00;546;684;13.6;11481.7;No
[D-X-50]-19;7/02/2024;1;NL;3195;12:00;16:00;10/02/2024;0;DE;38176;08:00;16:00;477;876;13.6;21988.5;No
