Order number;Pickup X;Pickup Y;Pickup Start time;Pickup End time;Delivery X;Delivery Y;Delivery Start time;Delivery End time;Revenue;Service Times;Loading meters;Weight
Vehicle 1;15;89;0;1000;138;58;0;989;0;0;0;0
Vehicle 2;69;89;0;1000;149;25;0;910;0;0;0;0
Vehicle 3;114;55;0;1000;9;39;0;795;0;0;0;0
[SFT1-RC50-30-3]-1;82.5;127.5;36;276;87;112.5;97;337;45;30;5.6;4164.8
[SFT1-RC50-30-3]-2;30;120;38;278;90;120;147;387;153;30;13.6;9914
[SFT1-RC50-30-3]-3;27;120;40;280;127.5;37.5;292;532;77;30;12.5;1011.1
[SFT1-RC50-30-3]-4;12;67.5;24;264;142.5;52.5;249;489;375;30;13.6;11591.9
[SFT1-RC50-30-3]-5;97.5;127.5;50;290;127.5;52.5;175;415;249;30;13.6;28078.7
[SFT1-RC50-30-3]-6;22.5;112.5;26;266;3;67.5;112;352;36;30;13.6;3314.7
[SFT1-RC50-30-3]-7;90;127.5;38;278;7.5;52.5;237;477;109;30;13.6;10760.7
[SFT1-RC50-30-3]-8;63;22.5;50;290;3;67.5;170;410;392;30;13.6;9737.8
[SFT1-RC50-30-3]-9;66;7.5;85;325;30;127.5;318;558;215;30;13.6;12050.3
[SFT1-RC50-30-3]-10;3;60;32;272;12;67.5;77;317;21;30;13.6;7452.3
[SFT1-RC50-30-3]-11;127.5;37.5;22;262;63;15;145;385;325;30;13.6;24263.4
[SFT1-RC50-30-3]-12;87;112.5;33;273;15;60;219;459;243;30;13.6;20649.9
[SFT1-RC50-30-3]-13;132;52.5;15;255;63;7.5;169;409;179;30;13.6;274.6
[SFT1-RC50-30-3]-14;90;120;34;274;60;22.5;178;418;391;30;13.6;23369.1
[SFT1-RC50-30-3]-15;90;127.5;42;282;0;60;205;445;81;30;7.9;14790.1
[SFT1-RC50-30-3]-16;63;18;73;313;60;22.5;109;349;5;30;13.6;12813.7
[SFT1-RC50-30-3]-17;63;18;54;294;30;123;285;525;580;30;13.6;9503.8
[SFT1-RC50-30-3]-18;60;75;17;257;7.5;52.5;133;373;61;30;13.6;13953.3
[SFT1-RC50-30-3]-19;142.5;45;33;273;127.5;37.5;97;337;100;30;11.3;15677.7
[SFT1-RC50-30-3]-20;3;67.5;20;260;30;120;116;356;406;30;13.6;16654.2
[SFT1-RC50-30-3]-21;87;112.5;32;272;60;7.5;180;420;191;30;13.6;26445.2
[SFT1-RC50-30-3]-22;33;112.5;39;279;3;60;174;414;42;30;11.8;20170.9
[SFT1-RC50-30-3]-23;33;127.5;37;277;82.5;127.5;157;397;24;30;13.6;19872.8
[SFT1-RC50-30-3]-24;127.5;52.5;17;257;127.5;37.5;78;318;90;30;13.6;8831.3
[SFT1-RC50-30-3]-25;0;60;41;281;60;75;174;414;260;30;13.6;13498
[SFT1-RC50-30-3]-26;3;67.5;31;271;30;127.5;176;416;83;30;13.1;19645.9
[SFT1-RC50-30-3]-27;127.5;52.5;11;251;3;67.5;222;462;5;30;0.8;601.8
[SFT1-RC50-30-3]-28;63;7.5;79;319;100.5;127.5;360;600;148;30;13.6;18876.6
[SFT1-RC50-30-3]-29;60;75;18;258;33;127.5;111;351;179;30;13.6;8934.5
[SFT1-RC50-30-3]-30;63;15;52;292;27;120;201;441;353;30;13.6;13384
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
